id,created_at,subject,concept,total_questions,correct_count,wrong_count,details
351,2026-06-27 06:31:28.102978,DB,"1-b. 데이터 모델의 개념, 관계형/객체지향 DB",1,1,0,"{""q_id"": ""2025_60"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
352,2026-06-27 06:32:24.487747,DB,1-a. 데이터베이스 시스템 개념 및 이론,1,1,0,"{""q_id"": ""2026_67"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
353,2026-06-27 06:35:28.229575,DB,1-a. 데이터베이스 시스템 개념 및 이론,1,1,0,"{""q_id"": ""2026_67"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
354,2026-06-27 06:36:07.738973,DB,1-a. 데이터베이스 시스템 개념 및 이론,1,1,0,"{""q_id"": ""2026_67"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
355,2026-06-27 06:36:30.354683,DB,1-a. 데이터베이스 시스템 개념 및 이론,1,1,0,"{""q_id"": ""2026_67"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
356,2026-06-27 06:36:47.905911,DB,1-a. 데이터베이스 시스템 개념 및 이론,1,1,0,"{""q_id"": ""2026_67"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
357,2026-06-27 06:36:59.437714,DB,1-a. 데이터베이스 시스템 개념 및 이론,1,1,0,"{""q_id"": ""2026_67"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
358,2026-06-27 06:38:47.867363,DB,"2-b. SQL, 내장SQL, 절차형 SQL, ODBC/JDBC 등",1,1,0,"{""q_id"": ""2019_68"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
359,2026-06-27 06:39:51.835938,DB,2-a. 관계대수,1,1,0,"{""q_id"": ""2020_51"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
360,2026-06-27 06:44:24.915365,SE,1-b. 객체지향 개념,1,1,0,"{""q_id"": ""2026_49"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
361,2026-06-27 06:44:34.674813,SE,1-b. 객체지향 개념,1,1,0,"{""q_id"": ""2026_35"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
362,2026-06-27 06:44:40.644188,SE,1-b. 객체지향 개념,1,1,0,"{""q_id"": ""2026_35"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
363,2026-06-27 06:44:46.056653,SE,1-b. 객체지향 개념,1,1,0,"{""q_id"": ""2026_35"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
364,2026-06-27 06:44:54.943932,SE,1-b. 객체지향 개념,1,1,0,"{""q_id"": ""2026_35"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
365,2026-06-27 06:49:31.055854,DB,"1-b. 데이터 모델의 개념, 관계형/객체지향 DB",1,1,0,"{""q_id"": ""2017_54"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
366,2026-06-27 06:50:07.865719,DB,"2-b. SQL, 내장SQL, 절차형 SQL, ODBC/JDBC 등",1,1,0,"{""q_id"": ""2022_66"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
367,2026-06-27 06:53:02.265728,DB,"2-b. SQL, 내장SQL, 절차형 SQL, ODBC/JDBC 등",1,1,0,"{""q_id"": ""2022_66"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
368,2026-06-27 06:53:45.502209,DB,"2-b. SQL, 내장SQL, 절차형 SQL, ODBC/JDBC 등",1,1,0,"{""q_id"": ""2022_66"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
369,2026-06-27 09:44:24.007159,SE,[기타],1,1,0,"{""q_id"": ""2026_30"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
370,2026-06-27 09:45:13.711028,SE,2-e. 테스팅 방법 및 도구,1,1,0,"{""q_id"": ""2020_29"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
371,2026-06-27 09:45:30.667786,SE,3-a. 유지관리 개념 및 방법,1,1,0,"{""q_id"": ""2025_27"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
372,2026-06-27 09:45:49.826302,SE,1-b. 객체지향 개념,1,1,0,"{""q_id"": ""2024_30"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
373,2026-06-27 09:46:08.913916,SE,"4-b. CBD, Agile, 데브 옵스, aop 등",1,1,0,"{""q_id"": ""2019_37"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
374,2026-06-27 09:48:49.28749,SE,1-d. UML/SysML 모델링,1,0,1,"{""q_id"": ""2017_49"", ""user_choice"": [3], ""correct_answer"": [2], ""is_correct"": false}"
375,2026-06-27 09:52:07.116031,SE,4-d. 클린 아키텍처,1,1,0,"{""q_id"": ""2025_26"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
376,2026-06-27 09:52:41.477659,SE,"1-a. 요구사항 도출, 요구사항 분석, 요구사항 명세, 요구사항 추적",1,1,0,"{""q_id"": ""2024_28"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
377,2026-06-27 09:53:05.258093,SE,"1-a. 요구사항 도출, 요구사항 분석, 요구사항 명세, 요구사항 추적",1,1,0,"{""q_id"": ""2025_43"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
378,2026-06-27 09:53:27.790972,SE,1-b. 객체지향 개념,1,1,0,"{""q_id"": ""2026_49"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
379,2026-06-27 09:53:46.026274,SE,"3-d. 재사용, 재공학, 역공학, Refactoring",1,1,0,"{""q_id"": ""2021_35"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
380,2026-06-27 09:54:26.900608,SE,1-b. 객체지향 개념,1,1,0,"{""q_id"": ""2026_35"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
381,2026-06-27 12:17:47.11382,SE,1-b. 객체지향 개념,1,1,0,"{""q_id"": ""2024_38"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
382,2026-06-27 12:19:18.498928,SE,4-j. 오픈소스 개념 및 활용방법,1,1,0,"{""q_id"": ""2020_37"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
383,2026-06-27 12:20:10.314504,SE,1-c. 설계원리,1,1,0,"{""q_id"": ""2015_40"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
384,2026-06-27 12:20:37.389836,SE,"1-a. 요구사항 도출, 요구사항 분석, 요구사항 명세, 요구사항 추적",1,1,0,"{""q_id"": ""2020_35"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
385,2026-06-27 12:20:59.184995,SE,1-b. 객체지향 개념,1,1,0,"{""q_id"": ""2015_29"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
386,2026-06-27 12:22:02.998097,PM,4-a. 프로젝트관리 관련 표준 및 가이드,1,1,0,"{""q_id"": ""2015_3"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
387,2026-06-27 12:24:54.397926,PM,4-b. 통합/범위/자원/일정/위험/품질/성과/조달/변화 관리 등,1,0,1,"{""q_id"": ""2020_20"", ""user_choice"": [3], ""correct_answer"": [4], ""is_correct"": false}"
388,2026-06-27 12:27:04.580951,PM,4-b. 통합/범위/자원/일정/위험/품질/성과/조달/변화 관리 등,1,1,0,"{""q_id"": ""2021_3"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
389,2026-06-27 12:27:39.24211,PM,"3-b. 인적 자원관리, 의사소통관리",1,0,1,"{""q_id"": ""2015_11"", ""user_choice"": [1], ""correct_answer"": [2], ""is_correct"": false}"
390,2026-06-27 12:28:36.656963,PM,"2-a. 전자정부법, 정보시스템 감리기준 등 감리 법제도",1,1,0,"{""q_id"": ""2021_14"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
391,2026-06-27 12:29:38.058138,PM,4-b. 통합/범위/자원/일정/위험/품질/성과/조달/변화 관리 등,1,1,0,"{""q_id"": ""2026_12"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
392,2026-06-27 12:30:01.177796,PM,"3-a. 조직구조, 조직이론, 조직설계",1,1,0,"{""q_id"": ""2019_12"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
393,2026-06-27 12:33:54.075126,PM,[기타],1,1,0,"{""q_id"": ""2023_7"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
394,2026-06-27 12:35:48.700364,PM,"2-a. 전자정부법, 정보시스템 감리기준 등 감리 법제도",1,1,0,"{""q_id"": ""2016_11"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
395,2026-06-27 12:38:50.242547,PM,[기타],1,0,1,"{""q_id"": ""2019_4"", ""user_choice"": [4], ""correct_answer"": [3], ""is_correct"": false}"
396,2026-06-28 00:58:48.576137,SE,"3-d. 재사용, 재공학, 역공학, Refactoring",1,0,1,"{""q_id"": ""2018_38"", ""user_choice"": [1], ""correct_answer"": [2], ""is_correct"": false}"
397,2026-06-28 00:59:14.946024,SE,"2-a. 프로그래밍언어 및 환경(코딩원리, 코딩오류, 코딩 스타일, uml과 코딩)",1,1,0,"{""q_id"": ""2016_46"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
398,2026-06-28 00:59:36.725812,SE,1-d. UML/SysML 모델링,1,1,0,"{""q_id"": ""2015_30"", ""user_choice"": [1], ""correct_answer"": [1, 2], ""is_correct"": true}"
399,2026-06-28 01:00:54.383858,SE,2-e. 테스팅 방법 및 도구,1,1,0,"{""q_id"": ""2018_30"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
400,2026-06-28 01:01:29.195581,SE,[기타],1,1,0,"{""q_id"": ""2019_36"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
